year,neighbourhood,sale_price_sqr_foot,housing_units,gross_rent
2013,Eureka Valley/Dolores Heights,608.6949672277,378401,2971
2013,Excelsior,289.7496657084,378401,2971
2013,Financial District North,274.4579436322,378401,2971
2013,Glen Park,458.7213317825,378401,2971
2013,Golden Gate Heights,956.1841219171,378401,2971
2013,Haight Ashbury,478.495636573,378401,2971
2013,Hayes Valley,491.5892613632,378401,2971
2013,Inner Mission,377.5180155755,378401,2971
2013,Inner Richmond,302.9673770284,378401,2971
2013,Inner Sunset,435.5456667813,378401,2971
2013,Jordan Park/Laurel Heights,584.0737147409,378401,2971
2013,Lake --The Presidio,568.6511487608,378401,2971
2013,Lone Mountain,376.0835980295,378401,2971
2013,Lower Pacific Heights,548.0466890414,378401,2971
2013,Marina,655.1980415946,378401,2971
2013,Midtown Terrace,703.0815676878,378401,2971
2013,Mission Bay,,378401,2971
2013,Mission Dolores,427.1662661418,378401,2971
2013,Mission Terrace,591.402022318,378401,2971
2013,Nob Hill,466.0264878531,378401,2971
2013,Noe Valley,615.0639297057,378401,2971
2013,North Beach,393.7173353455,378401,2971
2013,North Waterfront,483.1688033424,378401,2971
2013,Outer Parkside,372.2419861691,378401,2971
2013,Outer Richmond,332.4078153689,378401,2971
2013,Outer Sunset,322.0822144332,378401,2971
2013,Pacific Heights,503.8992613301,378401,2971
2013,Park North,512.6307219919,378401,2971
2013,Parkside,364.6246530242,378401,2971
2013,Parnassus/Ashbury Heights,425.6422553308,378401,2971
2013,Portola,235.9975925173,378401,2971
2013,Potrero Hill,598.7047953289,378401,2971
2013,Presidio Heights,512.8402484358,378401,2971
2013,Russian Hill,506.2275221897,378401,2971
2013,South of Market,420.8221845966,378401,2971
2013,Sunnyside,505.8348114374,378401,2971
2013,Telegraph Hill,653.3116166909,378401,2971
2013,Twin Peaks,414.4356925137,378401,2971
2013,Union Square District,1290.4721066466,378401,2971
2013,Van Ness/ Civic Center,285.009506063,378401,2971
2013,Visitacion Valley,293.2983722058,378401,2971
2013,West Portal,588.0747967826,378401,2971
2013,Western Addition,217.089068954,378401,2971
2013,Westwood Highlands,747.3335378172,378401,2971
2013,Yerba Buena,753.0114133184,378401,2971
2014,Alamo Square,484.4435521707,380348,3528
2014,Anza Vista,620.4414065566,380348,3528
2014,Bayview,254.9586616327,380348,3528
2014,Bernal Heights,544.5469286453,380348,3528
2014,Central Richmond,423.9527269348,380348,3528
2014,Central Sunset,456.2419957898,380348,3528
2014,Corona Heights,888.1821435177,380348,3528
2014,Cow Hollow,691.8654114838,380348,3528
2014,Downtown,428.7265326799,380348,3528
2014,Duboce Triangle,630.3115352379,380348,3528
2014,Eureka Valley/Dolores Heights,728.9797158499,380348,3528
2014,Excelsior,358.3052387224,380348,3528
2014,Financial District North,409.9438351784,380348,3528
2014,Financial District South,694.4181461347,380348,3528
2014,Glen Park,553.5627522523,380348,3528
2014,Golden Gate Heights,567.3400104586,380348,3528
2014,Haight Ashbury,496.5510012123,380348,3528
2014,Hayes Valley,428.9237926791,380348,3528
2014,Ingleside,647.6496334576,380348,3528
2014,Inner Mission,464.175843688,380348,3528
2014,Inner Parkside,597.2005280474,380348,3528
2014,Inner Richmond,430.9396363162,380348,3528
2014,Inner Sunset,470.8535298671,380348,3528
2014,Jordan Park/Laurel Heights,426.7863811848,380348,3528
2014,Lake --The Presidio,432.962722975,380348,3528
2014,Lone Mountain,317.2219194304,380348,3528
2014,Lower Pacific Heights,716.3765095625,380348,3528
2014,Marina,642.838478221,380348,3528
2014,Merced Heights,528.7265413889,380348,3528
2014,Miraloma Park,1267.7662026329,380348,3528
2014,Mission Bay,220.1110871917,380348,3528
2014,Mission Dolores,642.2195925518,380348,3528
2014,Mission Terrace,300.1873092017,380348,3528
2014,Nob Hill,478.4433517527,380348,3528
2014,Noe Valley,654.8014998923,380348,3528
2014,North Waterfront,379.9253617266,380348,3528
2014,Outer Parkside,650.9635159677,380348,3528
2014,Outer Richmond,401.9350222177,380348,3528
2014,Outer Sunset,490.3635828673,380348,3528
2014,Pacific Heights,824.658693635,380348,3528
2014,Park North,371.9242451684,380348,3528
2014,Parkside,446.2392452905,380348,3528
2014,Parnassus/Ashbury Heights,773.4061347807,380348,3528
2014,Portola,538.2046985773,380348,3528
2014,Potrero Hill,1045.2015459223,380348,3528
2014,Presidio Heights,603.4509968799,380348,3528
2014,Russian Hill,714.2220737504,380348,3528
2014,Silver Terrace,170.2925485152,380348,3528
2014,South Beach,524.6293121404,380348,3528
2014,South of Market,1119.8388773148,380348,3528
2014,Sunnyside,493.4556048957,380348,3528
2014,Telegraph Hill,708.1930316849,380348,3528
2014,Twin Peaks,562.9112337982,380348,3528
2014,Union Square District,558.271119406,380348,3528
2014,Van Ness/ Civic Center,475.3931868125,380348,3528
2014,Visitacion Valley,282.0254683002,380348,3528
2014,West Portal,687.7829633005,380348,3528
2014,Western Addition,429.4883174233,380348,3528
2014,Westwood Park,742.9797231633,380348,3528
2014,Yerba Buena,479.9237488133,380348,3528
2015,Alamo Square,602.1158769435,382295,3739
2015,Anza Vista,465.6862745098,382295,3739
2015,Bayview Heights,590.7928388747,382295,3739
2015,Bernal Heights,458.0042993401,382295,3739
2015,Buena Vista Park,551.6956218496,382295,3739
2015,Central Richmond,473.1638149617,382295,3739
2015,Central Sunset,453.3793770709,382295,3739
2015,Corona Heights,1100.7911936705,382295,3739
2015,Cow Hollow,598.6205414959,382295,3739
2015,Croker Amazon,301.6186470627,382295,3739
2015,Downtown,485.8868855758,382295,3739
2015,Duboce Triangle,631.645686328,382295,3739
2015,Eureka Valley/Dolores Heights,790.180369082,382295,3739
2015,Excelsior,414.355856472,382295,3739
2015,Financial District North,694.3585666537,382295,3739
2015,Financial District South,453.4330812935,382295,3739
2015,Glen Park,612.1061563311,382295,3739
2015,Golden Gate Heights,772.7128362001,382295,3739
2015,Haight Ashbury,574.2740565313,382295,3739
2015,Hayes Valley,536.5571018753,382295,3739
2015,Hunters Point,,382295,3739
2015,Ingleside,192.1652481377,382295,3739
2015,Inner Mission,435.9007753824,382295,3739
2015,Inner Parkside,762.5272331155,382295,3739
2015,Inner Richmond,493.6155576334,382295,3739
2015,Inner Sunset,639.1464438694,382295,3739
2015,Jordan Park/Laurel Heights,576.4579094376,382295,3739
2015,Lake --The Presidio,426.6849522707,382295,3739
2015,Lone Mountain,918.2882682039,382295,3739
2015,Lower Pacific Heights,800.0388650775,382295,3739
2015,Marina,1132.8373605555,382295,3739
2015,Mission Dolores,571.755708569,382295,3739
2015,Mission Terrace,583.8486362313,382295,3739
2015,Nob Hill,529.8473191314,382295,3739
2015,Noe Valley,544.6002639104,382295,3739
2015,North Beach,448.8691966768,382295,3739
2015,North Waterfront,890.9095931764,382295,3739
2015,Oceanview,265.9298265033,382295,3739
2015,Outer Mission,564.6874764662,382295,3739
2015,Outer Parkside,652.2879690319,382295,3739
2015,Outer Richmond,438.4677874197,382295,3739
2015,Outer Sunset,357.8946922464,382295,3739
2015,Pacific Heights,910.1876901657,382295,3739
2015,Park North,616.572388317,382295,3739
2015,Parkside,,382295,3739
2015,Parnassus/Ashbury Heights,605.3433249359,382295,3739
2015,Potrero Hill,821.3009904765,382295,3739
2015,Presidio Heights,,382295,3739
2015,Russian Hill,793.2619915605,382295,3739
2015,South of Market,717.0825412172,382295,3739
2015,Sunnyside,439.7498835484,382295,3739
2015,Telegraph Hill,996.9902204859,382295,3739
2015,Twin Peaks,417.3353789228,382295,3739
2015,Union Square District,2258.7028319984,382295,3739
2015,Van Ness/ Civic Center,677.8382318282,382295,3739
2015,Visitacion Valley,302.2218727063,382295,3739
2015,Western Addition,481.4692442739,382295,3739
2015,Yerba Buena,963.5226061641,382295,3739
2016,Alamo Square,340.9818352317,384242,4390
2016,Anza Vista,88.4015109461,384242,4390
2016,Bernal Heights,986.8421052632,384242,4390
2016,Buena Vista Park,851.4014053493,384242,4390
2016,Central Richmond,661.0644257703,384242,4390
2016,Central Sunset,581.3708750725,384242,4390
2016,Cow Hollow,1059.0656015493,384242,4390
2016,Croker Amazon,566.7011760342,384242,4390
2016,Downtown,718.7768297452,384242,4390
2016,Eureka Valley/Dolores Heights,1026.7911075238,384242,4390
2016,Excelsior,534.2262501283,384242,4390
2016,Financial District North,,384242,4390
2016,Glen Park,945.5665024631,384242,4390
2016,Haight Ashbury,531.8350322321,384242,4390
2016,Hayes Valley,175.0660691963,384242,4390
2016,Ingleside Heights,571.5799833447,384242,4390
2016,Inner Mission,647.770447184,384242,4390
2016,Inner Parkside,518.1126504656,384242,4390
2016,Inner Richmond,403.3111322114,384242,4390
2016,Inner Sunset,445.9238282689,384242,4390
2016,Jordan Park/Laurel Heights,704.5664189758,384242,4390
2016,Lower Pacific Heights,636.4307703489,384242,4390
2016,Marina,431.9446020236,384242,4390
2016,Merced Heights,1416.6666666667,384242,4390
2016,Mission Bay,924.5691159026,384242,4390
2016,Mission Terrace,879.0170132325,384242,4390
2016,Nob Hill,777.0083145339,384242,4390
2016,Noe Valley,799.4956512789,384242,4390
2016,North Beach,407.5533215596,384242,4390
2016,Outer Mission,40.7726253518,384242,4390
2016,Outer Parkside,732.7206841424,384242,4390
2016,Outer Richmond,1196.6454369239,384242,4390
2016,Outer Sunset,510.5769072144,384242,4390
2016,Pacific Heights,996.3893635634,384242,4390
2016,Park North,211.3013698601,384242,4390
2016,Parnassus/Ashbury Heights,1207.9974847082,384242,4390
2016,Potrero Hill,707.6516094321,384242,4390
2016,Presidio Heights,1465.9685863874,384242,4390
2016,Russian Hill,1024.3398771365,384242,4390
2016,South of Market,531.136373728,384242,4390
2016,Sunnyside,751.1737089202,384242,4390
2016,Telegraph Hill,903.0497705988,384242,4390
2016,Twin Peaks,970.0854700855,384242,4390
2016,Van Ness/ Civic Center,552.6025671313,384242,4390
2016,Visitacion Valley,328.3190066858,384242,4390
2016,Westwood Park,631.1954258724,384242,4390
